# put the affix in Column A and the tags you want it to have in following columns.
#
# tags can have multipliers
# for example; the added strength entry might be:
#
# +1 to Strength; AddStr; MaxLife*0.5
#
# so if an item has a "+23 to Strength" mod;
# then the AddStr tag will get 23 points and the MaxLife tag will get 11.5 points
# (this tool doesn't round down like the game would)
#
# a multiplier of zero means to count the mod as 1 no matter the value
# having no tag is interpreted as Junk*0
#
# mods are checked in order, so if there are duplicates in this file, only the first will match

+1% to Chaos Resistance; ResChaos; TotRes
+1% to Cold and Chaos Resistances; ResCold; ResChaos; TotRes*2
+1% to Cold and Lightning Resistances; ResCold; ResLight; TotRes*2
+1% to Cold Resistance; ResCold; TotRes
+1% to Fire and Chaos Resistances; ResFire; ResChaos; TotRes*2
+1% to Fire and Cold Resistances; ResFire; ResCold; TotRes*2
+1% to Fire and Lightning Resistances; ResFire; ResLight; TotRes*2
+1% to Fire Resistance; ResFire; TotRes
+1% to Lightning and Chaos Resistances; ResLight; ResChaos; TotRes*2
+1% to Lightning Resistance; ResLight; TotRes
+1% to All Elemental Resistances; ResAll; ResCold; ResFire; ResLight; TotRes*3
+1% chance to Suppress Spell Damage; Suppress; TotRes*2

+1 to Maximum Life; MaxLife
1% increased Damage with Bows
1% increased Damage with Claws
1% increased Damage with Daggers
1% increased Damage with Hits against Chilled Enemies
1% increased Damage with Hits and Ailments against Blinded Enemies
1% increased Damage with Hits and Ailments per Curse on Enemy
1% increased Damage with Maces or Sceptres
1% increased Damage with Movement Skills
1% increased Damage with Non-Vaal Skills during Soul Gain Prevention
1% increased Damage with One Handed Weapons
1% increased Damage with Poison
1% increased Damage with Poison if you have at least 1 Dexterity
1% increased Damage with Staves
1% increased Damage with Swords
1% increased Damage with Two Handed Weapons
1% increased Damage with Vaal Skills during effect
1% increased Damage with Wands
1% increased Dexterity
1% increased Dexterity if Strength is higher than Intelligence
1% increased Duration
1% increased Duration of Ailments you inflict while Focused
1% increased Duration of Curses on you
1% increased Duration of Lightning Ailments
1% increased Duration of Shrine Effects on you
1% increased Effect of Cold Ailments
1% increased Effect of Fortify on you while Focused
1% increased Effect of Fortify on you while Focussed
1% increased Effect of Lightning Ailments
1% increased effect of Non-Curse Auras from your Skills
1% increased Effect of Non-Curse Auras from your Skills on Enemies
1% increased Effect of Non-Damaging Ailments
1% increased Effect of Shrine Buffs on you
1% increased Effect of your Curses
1% increased Elemental Damage per 1 Dexterity
1% increased Elemental Damage per Frenzy Charge
1% increased Elemental Damage with Attack Skills
1% increased Elemental Damage with Attack Skills during any Flask Effect
1% increased Endurance Charge Duration
1% increased Endurance, Frenzy and Power Charge Duration
1% increased Energy Shield Recovery rate
1% increased Enfeeble Curse Effect
1% increased Ethereal Knives Projectile Speed
1% increased Evasion and Energy Shield
1% increased Evasion Rating
1% increased Evasion Rating during Onslaught
1% increased Evasion Rating while Focused
1% increased Fire Damage if you have used a Cold Skill Recently
1% increased Fire Damage taken
1% increased Fire Trap Burning Damage
1% increased Fireball Cast Speed
1% increased Flameblast Critical Strike Chance
1% increased Flask Charges gained
1% increased Flask Effect Duration
1% increased Flask Life Recovery rate
1% increased Flask Mana Recovery rate
1% increased Flesh Offering Duration
1% increased Freeze Duration on Enemies
1% increased Frost Blades Projectile Speed
1% increased Frost Wall Duration
1% increased Global Accuracy Rating
1% increased Global Attack Speed per Green Socket
1% increased Global Damage
1% increased Global Defences
1% increased Global Defences per White Socket
1% increased Global Evasion Rating when on Low Life
1% increased Global Physical Damage with Weapons per Red Socket
1% increased Herald of Ash Damage
1% increased Herald of Ice Damage
1% increased Hit Rate for each blade
1% increased Ignite Duration on Enemies
1% increased Impale Effect
1% increased Intelligence
1% increased Lacerate Area of Effect
1% increased Leap Slam Area of Effect
1% increased Leap Slam Attack Speed
1% increased Life Recovered
1% increased Life Recovery Rate per 1 Strength on Allocated Passives in Radius
1% increased Life Regeneration rate
1% increased Light Radius
1% increased Lightning Tendrils Damage
1% increased Lightning Trap Lightning Ailment Effect
1% increased Lightning Warp Damage
1% increased Mana Cost of Skills
1% increased Mana Recovered
1% increased Mana Recovery from Flasks
1% increased Mana Regeneration Rate
1% increased Mana Regeneration Rate if you've cast a Spell Recently
1% increased Mana Regeneration Rate per Power Charge
1% increased Mana Reservation Efficiency of Skills
1% increased Manabond Area of Effect
1% increased maximum Energy Shield
1% increased Maximum Life per Abyss Jewel affecting you
1% increased maximum Mana
1% increased Maximum Mana per Abyss Jewel affecting you
1% increased maximum travel distance
1% increased Melee Damage
1% increased Melee Damage against Bleeding Enemies
1% increased Mine Damage
1% increased Mine Throwing Speed
1% increased Minion Accuracy Rating
1% increased Minion Attack Speed per 1 Dexterity
1% increased Minion Duration
1% increased Minion Maximum Life
1% increased Minion Movement Speed
1% increased Minion Movement Speed per 1 Dexterity
1% increased Molten Strike Damage
1% increased Monster Attack Speed
1% increased Monster Cast Speed
1% increased Monster Damage
1% increased Monster Movement Speed
1% increased Movement Speed during Flask effect
1% increased Movement Speed for 1 seconds on Throwing a Trap
1% increased Movement Speed for you and nearby Allies
1% increased Movement Speed if you haven't been Hit Recently
1% increased Movement Speed if you've Killed Recently
1% increased Movement Speed per Frenzy Charge
1% increased Movement Speed when on Full Life
1% increased Movement Speed when on Low Life
1% increased Movement Speed while Ignited
1% increased Movement Speed while on Full Energy Shield
1% increased Movement Speed while Phasing
1% increased Physical Attack Damage while Dual Wielding
1% increased Physical Damage per Endurance Charge
1% increased Physical Damage taken
1% increased Physical Damage with Ranged Weapons
1% increased Physical Weapon Damage per 1 Strength
1% increased Poacher's Mark Curse Effect
1% increased Poison Duration
1% increased Poison Duration if you have at least 1 Intelligence
1% increased Power Charge Duration
1% increased Projectile Attack Damage
1% increased Projectile Damage
1% increased Quantity of Items found
1% increased Rallying Cry Buff Effect
1% increased Rarity of Items Dropped by Frozen Enemies
1% increased Rarity of Items Dropped by Slain Rare or Unique Enemies
1% increased Rarity of Items found
1% increased Rarity of Items found when on Low Life
1% increased Reservation Efficiency of Skills
1% increased Scorching Ray Damage
1% increased Searing Bond Damage
1% increased Shock Duration on Enemies
1% increased Skill Duration per Frenzy Charge removed
1% increased Skill Effect Duration
1% increased Spark Projectile Speed
1% increased Spectral Shield Throw Damage
1% increased Spell Damage per 1 Intelligence
1% increased Spell Damage per 1 Player Maximum Life
1% increased Spell Damage per Power Charge
1% increased Spell Damage taken when on Low Mana
1% increased Spell Damage while Dual Wielding
1% increased Spell Damage while holding a Shield
1% increased Spell Damage while wielding a Staff
1% increased Spirit Offering Duration
1% increased Static Strike Damage
1% increased Strength
1% increased Stun and Block Recovery
1% increased Stun Duration against Enemies that are on Full Life
1% increased Stun Duration on Enemies
1% increased teleport range
1% increased Tornado Shot Damage
1% increased Totem Damage
1% increased Totem Life
1% increased Totem Placement speed
1% increased Trap Damage
1% increased Trap Duration
1% increased Trap Throwing Speed
1% increased Warcry Cooldown Recovery Rate
1% increased Warcry Speed
1% increased Ward
1% less Animate Weapon Duration
1% less Area of Effect when Cast on Frostbolt
1% less Burning Damage
1% less effect of Curses on Monsters
1% less Elemental Damage taken per Raised Zombie
1% less Movement Speed
1% more Area of Effect for each stage
1% more Attack Speed while Totem is Active
1% more Attack Speed while you're in a Blood Bladestorm
1% more Burning Damage
1% more Damage for each blade
1% more Damage for each remaining Chain
1% more Damage with Ailments for each stage
1% more Damage with Bleeding while in Blood Stance
1% more Magic Monsters
1% more Melee Damage while Totem is Active
1% more Melee Physical Damage
1% more Minion Movement Speed
1% more Monster Life
1% more Physical Damage with Unarmed Attacks
1% more Physical Damage with Unarmed Melee Attacks
1% more Rare Monsters
1% more Spell Damage for each stage
1% more Spell Fire Damage
1% of Attack Damage Leeched as Life against Bleeding Enemies
1% of Attack Damage Leeched as Life against Chilled Enemies
1% of Attack Damage Leeched as Life against Maimed Enemies
1% of Attack Damage Leeched as Mana against Poisoned Enemies
1% of Burning Arrow Physical Damage gained as Extra Fire Damage
1% of Chaos Damage Leeched as Life
1% of Cold Damage Converted to Fire Damage
1% of Cold Damage Leeched as Life
1% of Damage dealt by your Totems is Leeched to you as Life
1% of Damage from Hits is taken from the Buff before your Life or Energy Shield\nBuff can take Damage equal to 1% of your Armour, up to a maximum of 1
1% of Damage from Hits is taken from your Spectres' Life before you
1% of Damage is taken from Mana before Life per Power Charge
1% of Damage is taken from Mana before Life while Focused
1% of Damage Leeched as Life if you've Killed Recently
1% of Damage Leeched as Life while you have at least 1 total Endurance, Frenzy and Power Charges
1% of Damage taken Recouped as Life
1% of Damage taken Recouped as Mana
1% of Damage you Reflect to Enemies when Hit is gained as Life
1% of Evasion Rating is Regenerated as Life per second while Focused
1% of Evasion Rating is Regenerated as Life per second while Focussed
1% of Fire Damage Converted to Chaos Damage
1% of Fire Damage from Hits taken as Physical Damage
1% of Fire Damage Leeched as Life
1% of Lightning Damage Leeched as Life
1% of Maximum Life taken as Chaos Damage per second
1% of Melee Physical Damage taken reflected to Attacker
1% of Physical Attack Damage Leeched as Life
1% of Physical Attack Damage Leeched as Life per Red Socket
1% of Physical Attack Damage Leeched as Mana
1% of Physical Attack Damage Leeched as Mana per Blue Socket
1% of Physical Damage Converted to Chaos Damage
1% of Physical Damage Converted to Cold Damage
1% of Physical Damage Converted to Fire Damage
1% of Physical Damage Converted to Lightning Damage
1% of Physical Damage from Hits taken as Chaos Damage
1% of Physical Damage from Hits taken as Cold Damage
1% of Physical Damage from Hits taken as Fire Damage
1% of Physical Damage from Hits taken as Lightning Damage
1% of Physical Damage is taken from Mana before Life
1% reduced Amount Recovered
1% reduced Area Damage taken from Hits
1% reduced Attack Speed
1% reduced Attribute Requirements
1% reduced Bleed Duration on you
1% reduced Bleeding Duration
1% reduced Cast Speed
1% reduced Chaos Damage taken
1% reduced Chaos Damage taken over time
1% reduced Cold Damage taken
1% reduced Damage when on Low Life
1% reduced Duration
1% reduced Effect of Chill and Shock on you
1% reduced Effect of Chill on you
1% reduced Effect of Curses on you
1% reduced Effect of Shock on you
1% reduced Enemy Stun Threshold
1% reduced Enemy Stun Threshold with this Weapon
1% reduced Energy Shield Recharge Rate
1% reduced Experience gain
1% reduced Fire Damage taken
1% reduced Flask Charges gained
1% reduced Flask Charges used
1% reduced Flask Effect Duration
1% reduced Freeze Duration on you
1% reduced Frenzy Charge Duration
1% reduced Frenzy Charge Duration per Frenzy Charge
1% reduced Global Accuracy Rating
1% reduced Ignite Duration on Enemies
1% reduced Ignite Duration on you
1% reduced Life Cost
1% reduced Light Radius
1% reduced Lightning Damage taken
1% reduced Mana Cost of Minion Skills
1% reduced Mana Cost of Skills
1% reduced Mana Regeneration Rate
1% reduced maximum Energy Shield
1% reduced maximum Life
1% reduced maximum Mana
1% reduced Maximum number of Summoned Raging Spirits
1% reduced Mine Throwing Speed
1% reduced Movement Speed
1% reduced Movement Speed when on Low Life
1% reduced Poison Duration on you
1% reduced Projectile Speed
1% reduced Rarity of Items found
1% reduced Recovery rate
1% reduced Reservation of Skills
1% reduced Storm Call Duration
1% reduced Stun and Block Recovery
1% reduced Totem Damage
1% reduced Trap Duration
Activates every 1 second while Attached
Added Small Passive Skills also grant: +1 to All Attributes
Added Small Passive Skills also grant: +1 to Armour
Added Small Passive Skills also grant: +1 to Dexterity
Added Small Passive Skills also grant: +1 to Evasion
Added Small Passive Skills also grant: +1 to Maximum Energy Shield
Added Small Passive Skills also grant: +1 to Maximum Life
Added Small Passive Skills also grant: +1 to Strength
Added Small Passive Skills also grant: +1% to Chaos Resistance
Added Small Passive Skills also grant: +1% to Cold Resistance
Added Small Passive Skills also grant: +1% to Elemental Resistance
Added Small Passive Skills also grant: +1% to Fire Resistance
Added Small Passive Skills also grant: +1% to Lightning Resistance
Added Small Passive Skills also grant: 1% increased Attack and Cast Speed with Fire Skills
Added Small Passive Skills also grant: 1% increased Mana Regeneration Rate
Added Small Passive Skills also grant: Regenerate 1% of Life per Second
Added Small Passive Skills grant: +1% to Cold Resistance
Added Small Passive Skills grant: +1% to Lightning Resistance
Added Small Passive Skills grant: 1% Chance to Block Spell Damage
Added Small Passive Skills grant: 1% chance to Dodge Attack Hits
Added Small Passive Skills grant: 1% increased Attack Damage
Added Small Passive Skills grant: 1% increased Attack Damage while Dual Wielding
Added Small Passive Skills grant: 1% increased Attack Damage while holding a Shield
Added Small Passive Skills grant: 1% increased Cold Damage
Added Small Passive Skills grant: 1% increased Damage while affected by a Herald
Added Small Passive Skills grant: 1% increased Damage with Bows\nAdded Small Passive Skills grant: 1% increased Damage Over Time with Bow Skills
Added Small Passive Skills grant: 1% increased Damage with Two Handed Weapons
Added Small Passive Skills grant: 1% increased Evasion Rating
Added Small Passive Skills grant: 1% increased Fire Damage
Added Small Passive Skills grant: 1% increased Lightning Damage
Added Small Passive Skills grant: 1% increased maximum Life
Added Small Passive Skills grant: 1% increased maximum Mana
Added Small Passive Skills grant: 1% increased Physical Damage
Added Small Passive Skills grant: 1% increased Projectile Damage
Added Small Passive Skills grant: 1% increased Spell Damage
Added Small Passive Skills grant: 1% increased Totem Damage
Added Small Passive Skills grant: Exerted Attacks deal 1% increased Damage
Added Small Passive Skills grant: Minions deal 1% increased Damage
Adds 1 Passive Skills
Adds 1 to 1 Chaos Damage
Adds 1 to 1 Chaos Damage in Off Hand
Adds 1 to 1 Chaos Damage to Attacks
Adds 1 to 1 Chaos Damage to Hits against Cursed Enemies
Adds 1 to 1 Chaos Damage to Spells
Adds 1 to 1 Chaos Damage to Spells and Attacks during any Flask Effect
Adds 1 to 1 Cold Damage
Adds 1 to 1 Cold Damage against Chilled Enemies
Adds 1 to 1 Cold Damage against Chilled or Frozen Enemies
Adds 1 to 1 Cold Damage if you've been Hit Recently
Adds 1 to 1 Cold Damage to Attacks
Adds 1 to 1 Cold Damage to Spells and Attacks
Adds 1 to 1 Fire Damage
Adds 1 to 1 Fire Damage in Main Hand
Adds 1 to 1 Fire Damage to Attacks
Adds 1 to 1 Fire Damage to Attacks against Ignited Enemies
Adds 1 to 1 Fire Damage to Attacks with this Weapon per 1 Strength
Adds 1 to 1 Fire Damage to Spells and Attacks
Adds 1 to 1 Lightning Damage
Adds 1 to 1 Lightning Damage if you haven't Killed Recently
Adds 1 to 1 Lightning Damage to Attacks
Adds 1 to 1 Lightning Damage to Spells and Attacks
Adds 1 to 1 Physical Damage
Adds 1 to 1 Physical Damage against Bleeding Enemies
Adds 1 to 1 Physical Damage to Attacks
Adds 1 to 1 Physical Damage to Hits against Cursed Enemies
Adds 1 to 1 Physical Damage to Spells
Aftershock deals 1% more Damage with Hits and Ailments
All Monster Damage from Hits always Ignites
All Sockets are White
Allocates Arsonist
Allocates Aspect of Stone
Allocates Blunt Trauma
Allocates Breath of Rime
Allocates Careful Conservationist
Allocates Coldhearted Calculation
Allocates Decay Ward
Allocates Deep Breaths
Allocates Disciple of the Forbidden
Allocates Divine Wrath
Allocates Enduring Bond
Allocates Gemini
Allocates Harrier
Allocates Hex Master
Allocates Holy Fire
Allocates Infused
Allocates Insightfulness
Allocates Instability
Allocates Lucidity
Allocates Measured Fury
Allocates Poisonous Fangs
Allocates Primal Spirit
Allocates Primeval Force
Allocates Quick Recovery
Allocates Redemption
Allocates Retribution
Allocates Righteous Army
Allocates Smashing Strikes
Allocates Stabbing Thirst
Allocates True Strike
Allocates Vengeant Cascade
Allocates Vitality Extraction
Allocates Volatile Mines
Allocates Will of Blades
Ancestral Cry has a minimum of 1 Power
Ancestral Protector Totem grants 1% increased Attack Speed while Active
Animated Guardians deal 1% increased Damage
Applies beams to the closest 1 Enemies
Area has increased monster variety
Area has patches of Shocked Ground which increase Damage taken by 1%
Area is inhabited by 1 additional Rogue Exiles
Area is inhabited by Cultists of Kitava
Area is inhabited by Ghosts
Areas have patches of Consecrated Ground
Armageddon Brand Damage Penetrates 1% of Branded Enemy's Fire Resistance
Arrows fire Beams every 1 seconds
Arrows Pierce all Targets
Arrows Pierce an additional Target
Artillery Ballista fires an additional Arrow
Attack Skills have +1 to maximum number of Summoned Totems
Attacks Chain an additional time when in Main Hand
Attacks fire an additional Projectile when in Off Hand
Attacks have 1% chance to cause Bleeding
Attacks have 1% chance to Poison while at maximum Frenzy Charges
Attacks with this Weapon deal 1-1 added Chaos Damage against\nEnemies affected by at least 1 Poisons
Attacks with this Weapon Maim on hit
Attacks with this Weapon Penetrate 1% Chaos Resistance
Attacks with this Weapon Penetrate 1% Cold Resistance
Attacks with this Weapon Penetrate 1% Elemental Resistances
Attacks with this Weapon Penetrate 1% Fire Resistance
Attribute Modifiers have 1% increased Effect
Base Burning Damage is 1% of Overkill Damage
Base duration is 1 seconds
Base Duration of 1.1 seconds after being Placed
Base secondary duration is 1 seconds
Bladestorm deals 1% less Damage with Hits and Ailments
Blast Rain fires an additional Arrow
Bleeding Enemies you Kill Explode, dealing 1% of\ntheir Maximum Life as Physical Damage
Bleeding you inflict deals Damage 1% faster
Blind does not affect your Light Radius
Blind you inflict is Reflected to you
Bounces up to 1 times\nModifiers to number of Projectiles instead apply to the number of Bounces
Bow Attacks fire an additional Arrow
Buff Duration is refreshed after you spend a total of 1 Life
Buff grants +1 to Armour
Buff grants +1% to all Elemental Resistances per Endurance Charge
Buff grants 1% additional Physical Damage Reduction per Endurance Charge
Buff grants 1% increased Movement Speed
Buff grants 1% increased Stealth
Buff grants Phasing
Call of Steel deals Reflected Damage with 1% increased Area of Effect
Call of Steel has 1% increased Use Speed
Can be Attached for a total Duration of 1 seconds
Can be Detached for a total Duration of 1 seconds
Can expand from up to 1 Frostbolt Projectiles
Can have up to 1 active spinning blades
Can roll Minion Modifiers
Can't be Evaded
Can't use other Rings
Cannot be Chilled
Cannot be Chilled during Onslaught
Cannot be Chilled or Frozen if you have used a Fire Skill Recently
Cannot be Frozen
Cannot be Ignited
Cannot be Ignited while on Low Life
Cannot be Shocked
Cannot be Shocked while Chilled
Cannot Block
Cannot Evade Enemy Attacks
Cannot gain Mana during effect
Cannot Leech Life
Cannot Leech Mana
Cannot Leech when on Low Life
Cast Level 1 Fire Burst on Hit
Chains +1 Times
Chaos Damage does not bypass Minions' Energy Shield
Chaos Modifiers have 1% increased Effect
Chaos Skills have 1% increased Skill Effect Duration
Chills Enemies as though dealing 1% more Damage
Conduit
Consumes Frenzy Charges on use
Consumes up to 1 Steel Shards
Corrupted Blood cannot be inflicted on you
Counts as Dual Wielding
Counts total Power of Enemies in Range
Covers Enemies in Ash, causing 1% increased Fire Damage taken per 1 Power, up to 1%
Creates a Smoke Cloud on Use
Creates Chilled Ground on Use
Creates Consecrated Ground on Use
Creeping Frost's Chilling Area has 1% increased Movement Speed
Cruelty has a Base Duration of 1 seconds
Culling Strike
Culling Strike against Burning Enemies
Curse Enemies with Enfeeble on Hit
Curse Enemies with Socketed Hex Curse Gem on Hit
Curse Enemies with Vulnerability on Block, with 1% increased Effect
Curse gains 1 Doom per second if you Cast this Spell yourself
Curse Skills have 1% increased Skill Effect Duration
Cursed enemies grant 1 Life when Hit by Attacks
Cursed enemies grant 1 Mana when Hit by Attacks
Cursed enemies have -1% to Chaos Resistance
Cursed enemies have -1% to Lightning Resistance
Cursed enemies have -1% to Physical Damage Reduction
Cursed enemies have a 1% chance to grant a Frenzy Charge when slain
Cursed enemies take 1% increased Damage from Projectile Hits
Damage cannot be Reflected
Damage of Enemies Hitting you is Unlucky while you are on Low Life
Damage Over Time caused by Projectiles deals 1% less Damage
Damage Penetrates 1% Cold Resistance
Damage Penetrates 1% Elemental Resistance if you haven't Killed Recently
Damage Penetrates 1% Elemental Resistances
Damage Penetrates 1% Fire Resistance
Damage Penetrates 1% Lightning Resistance
Damaging Ailments deal damage 1% faster
Damaging Hits always Stun Enemies that are on Full Life
Deal no Physical Damage
Deals 1 Base Chaos Damage per second
Deals 1 Base Cold Damage per second
Deals 1 Base Fire Damage per second
Deals 1 Base Physical Damage per second
Deals 1 to 1 Cold Damage
Deals 1 to 1 Fire Damage
Deals 1 to 1 Lightning Damage
Deals 1 to 1 Physical Damage
Deals 1% of your Maximum Energy Shield as Base Fire Damage per second
Deals 1% of your Maximum Life as Base Fire Damage per second
Deals up to 1% more Damage to closer targets
Debuff can have up to 1 layers of Damage
Debuff deals 1% of Damage per Charge
Determination has 1% increased Aura Effect
Determination has 1% reduced Reservation
Detonate Dead has a 1% chance to detonate an additional corpse
Divine Ire's beam has 1% increased width
Drops Shocked Ground while moving, lasting 1 seconds
Each Arrow can fire 1 Beams
Earthshatter deals 1% increased Damage; LabEnchant
Elemental Hit deals 1% increased Damage
Elemental Resistances are Zero
Enemies Cannot Leech Mana From you
Enemies Ignited by Supported Skills have -1% to Fire Resistance
Enemies Killed with Attack or Spell Hits Explode, dealing 1% of their Life as Fire Damage
Enemies Maimed by Supported Skills take 1% increased Physical Damage
Enemies Maimed by this Skill take 1% increased Physical Damage
Enemies you Kill have a 1% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage
Every third Attack with Supported Melee Attacks deals a Ruthless Blow
Exerted Attacks Trigger Combust the first time they deal a Melee Hit
Exerts the next 1 Melee Attacks you perform
Explosion deals base Fire Damage equal to 1% of the corpse's Maximum Life
Explosion deals Fire Damage equal to 1% of the Monster's maximum Life
Explosive Arrow has 1% increased Duration
Extra gore
Eye of Winter fires Shard projectiles with 1% increased Frequency during flight
Feeding Frenzy base Duration is 1 seconds
Fires 1 additional Arrows
Fires 1 additional Projectiles
Fires 1% more Projectiles per Steel Shard consumed
Fires Projectiles in a circle
Fires Projectiles sequentially
Fires tendrils at up to 1 Targets
First Hit deals 1% less Damage
Flask effect is not removed when Unreserved Mana is Filled\nFlask effect does not Queue
Flasks applied to you have 1% increased Effect
Flesh and Stone has 1% increased Mana Reservation Efficiency
Focus has 1% increased Cooldown Recovery Rate
Gain +1% to Critical Strike Chance for 1 seconds after Spending a total of 1 Mana
Gain 1 Endurance Charge per 1 Power
Gain 1 Life on Culling Strike
Gain 1 Life per Enemy Hit by Attacks
Gain 1 Life per Enemy Hit with Attacks
Gain 1 Life per Enemy Killed
Gain 1 Life when you lose an Endurance Charge
Gain 1 Mana on Culling Strike
Gain 1 Mana per Enemy Hit with Attacks
Gain 1 Mana per Enemy Killed
Gain 1 Stage every 1 seconds while an Enemy is Nearby
Gain 1 Stage when you Kill an Enemy while carrying the Banner
Gain 1% of Lightning Damage as Extra Chaos Damage
Gain 1% of Maximum Life as Extra Maximum Energy Shield
Gain 1% of Maximum Mana as Extra Maximum Energy Shield
Gain 1% of Weapon Physical Damage as Extra Damage of a random Element
Gain 1% of your Physical Damage as Extra Fire Damage
Gain a Frenzy Charge after Spending a total of 1 Mana
Gain a Frenzy Charge if an Attack Ignites an Enemy
Gain a Frenzy Charge on every 1th Rampage Kill
Gain a Frenzy, Endurance, or Power Charge once per second while you are Stationary
Gain a Power Charge after Spending a total of 1 Mana
Gain a Power Charge on Non-Critical Strike
Gain Adrenaline for 1 seconds per Stage on Placing the Banner
Gain an Endurance Charge when you take a Critical Strike
Gain Onslaught for 1 seconds per Frenzy Charge on use
Gain Soul Eater during any Flask Effect
Gains 1 Stage every 1 seconds while Channelling
Gems can be Socketed in this Item ignoring Socket Colour
Gems Socketed in Blue Sockets gain 1% increased Experience
Gems Socketed in Green Sockets have +1% to Quality
Gems Socketed in Red Sockets have +1 to Level
General's Cry has +1 to maximum number of Mirage Warriors
Golems grant 1 Life Regenerated per second
Golems Grant 1% increased Damage
Grants +1 to Maximum Life per 1% Quality
Grants 1 Life per Enemy Hit
Grants 1 Mana per Enemy Hit
Grants 1% increased Area of Effect per 1% Quality
Grants 1% more Spell Damage
Grants 1% of Life Recovery to Minions
Grants Fortify for 1 seconds on Melee hit
Grants Immunity to Ignite for 1 seconds if used while Ignited\nRemoves all Burning when used
Grants Level 1 Aspect of the Cat Skill
Grants Level 1 Aspect of the Crab Skill
Grants Level 1 Aspect of the Spider Skill
Grants Level 1 Bear Trap Skill
Grants Level 1 Blood Offering Skill
Grants Level 1 Frostbite Skill
Grants Level 1 Icestorm Skill
Grants Level 1 Pride Skill
Guards deal 1% increased Damage
Has 1 Abyssal Socket
Has 1 Socket
Has no Attribute Requirements
Herald of Thunder has 1% increased Buff Effect
Hexes applied by Socketed Curse Skills are Reflected back to you
Hexes on Slain Enemies are transferred to a nearby Enemy
Hits after the first on each Enemy deal 1% less Damage
Hits against Cursed Enemies have +1% chance to Shock
Hits can't be Evaded
Hits from Supported Skills grant Cruelty
Holy Relic's Nova Skill grants 1 Life regenerated per second to Allies
Holy Relic's Nova Skill grants 1 Life regenerated per second to Minions
Ice Golems deal 1% increased Damage
Ice Trap Damage Penetrates 1% Cold Resistance
Ignited Enemies Killed by your Hits are destroyed
Ignites you inflict deal Damage 1% faster
Ignites you inflict with Attacks deal Damage 1% faster
Immune to Freeze, Chill, Curses and Stuns during Flask Effect
Implicit Modifier magnitudes are tripled
Increases and Reductions to Cast Speed also apply to this Skill's Activation frequency
Increases and Reductions to Cold Damage in Radius are Transformed to apply to Physical Damage
Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at 1% of their value
Increases and Reductions to Physical Damage in Radius are Transformed to apply to Cold Damage
Increases and Reductions to Projectile Speed also apply to\nthis Skill's Area of Effect
Inflicts 1 Withered Debuffs the first time each Enemy enters the Area
Inflicts a random Hex on you when your Totems die, with 1% more Effect
Instant Recovery
Intelligence from Passives in Radius is Transformed to Dexterity
Iron Grip
Knocks Enemies Back on Hit
Lancing Steel fires an additional Projectile
Life Leech from Hits with this Weapon is instant
Lightning Trap pierces 1 additional Targets
Lose 1 Stage every 1 seconds while not Channelling
Lose all Frenzy, Endurance, and Power Charges when you Move
Lose all Power Charges on Critical Strike
Lose Souls gained from Soul Eater when you use a Flask
Magic Monster Packs each have a Bloodline Mod
Mana Recovery occurs instantly at the end of the Flask effect
Maximum 1 Arrows in the ground
Maximum 1 Raised Zombies
Maximum 1 Stages
Maximum 1 Summoned Golem
Maximum 1 Summoned Holy Relic
Maximum 1 Summoned Magic Sentinels of Dominance
Maximum 1 Summoned Normal Sentinels of Dominance
Maximum 1 Summoned Rare Sentinel of Dominance
Maximum 1 Summoned Skeletons
Maximum of 1 Bladestorms at a time
Maximum of 1 corpses allowed
Melee Hits have 1% chance to Fortify
Melee Skills deal 1% less Area Damage while in Sand Stance
Melee Skills deal 1% more Area Damage while in Blood Stance
Melee Skills have 1% less Area of Effect while in Blood Stance
Melee Skills have 1% more Area of Effect while in Sand Stance
Mines have 1% increased Detonation Speed
Minions cannot Taunt Enemies
Minions Convert 1% of their Maximum Life to Maximum Energy\nShield per 1% Chaos Resistance they have
Minions deal 1 to 1 additional Chaos Damage
Minions deal 1 to 1 additional Cold Damage
Minions deal 1 to 1 additional Fire Damage
Minions deal 1 to 1 additional Lightning Damage
Minions deal 1 to 1 additional Physical Damage
Minions from Supported Skills are Aggressive
Minions from Supported Skills deal 1% more Damage
Minions from Supported Skills have 1% chance to deal Double Damage
Minions from Supported Skills have 1% chance to grant Feeding Frenzy to you on Hit
Minions from Supported Skills have 1% less Maximum Life
Minions gain 1% more Added Damage
Minions have +1 to Accuracy Rating
Minions have +1 to Armour
Minions have +1% Chance to Block Attack Damage
Minions have +1% chance to Suppress Spell Damage
Minions have +1% to Chaos Resistance
Minions have +1% to Critical Strike Multiplier
Minions have 1% chance to deal Double Damage
Minions have 1% chance to Hinder Enemies on Hit with Spells
Minions have 1% chance to Hinder Enemies on Hit with Spells, with 1% reduced Movement Speed
Minions have 1% chance to Taunt on Hit with Attacks
Minions have 1% faster start of Energy Shield Recharge
Minions have 1% increased Area of Effect
Minions have 1% increased Attack and Cast Speed
Minions have 1% increased Critical Strike Chance
Minions have 1% increased Movement Speed
Minions Recover 1% of their Life when you Focus
Minions Regenerate 1% of Life per second
Minions' Hits can only Kill Ignited Enemies
